observation_date,TREAST
2003-01-01,629406
2003-01-08,629406
2003-01-15,629406
2003-01-22,629406
2003-01-29,629406
2003-02-05,629401
2003-02-12,630947
2003-02-19,631263
2003-02-26,635996
2003-03-05,637139
2003-03-12,638714
2003-03-19,639889
2003-03-26,640891
2003-04-02,641472
2003-04-09,645074
2003-04-16,646785
2003-04-23,646891
2003-04-30,647271
2003-05-07,647570
2003-05-14,647937
2003-05-21,650725
2003-05-28,650859
2003-06-04,651403
2003-06-11,651603
2003-06-18,651922
2003-06-25,651993
2003-07-02,652353
2003-07-09,652451
2003-07-16,652690
2003-07-23,652827
2003-07-30,652856
2003-08-06,653024
2003-08-13,653278
2003-08-20,653516
2003-08-27,653671
2003-09-03,653931
2003-09-10,655592
2003-09-17,655943
2003-09-24,655993
2003-10-01,656186
2003-10-08,656270
2003-10-15,656489
2003-10-22,656754
2003-10-29,658672
2003-11-05,658875
2003-11-12,660279
2003-11-19,662703
2003-11-26,664515
2003-12-03,665232
2003-12-10,665610
2003-12-17,665953
2003-12-24,666216
2003-12-31,666665
2004-01-07,666720
2004-01-14,666798
2004-01-21,666832
2004-01-28,667060
2004-02-04,667292
2004-02-11,669851
2004-02-18,670786
2004-02-25,671527
2004-03-03,671632
2004-03-10,673039
2004-03-17,673153
2004-03-24,673995
2004-03-31,674084
2004-04-07,674294
2004-04-14,674717
2004-04-21,674937
2004-04-28,676383
2004-05-05,677811
2004-05-12,677835
2004-05-19,679618
2004-05-26,680633
2004-06-02,681483
2004-06-09,683932
2004-06-16,684993
2004-06-23,685177
2004-06-30,687391
2004-07-07,687893
2004-07-14,690309
2004-07-21,692299
2004-07-28,693717
2004-08-04,693734
2004-08-11,693746
2004-08-18,694760
2004-08-25,694840
2004-09-01,694858
2004-09-08,694869
2004-09-15,695703
2004-09-22,698161
2004-09-29,698617
2004-10-06,701586
2004-10-13,701617
2004-10-20,702813
2004-10-27,706730
2004-11-03,708130
2004-11-10,708909
2004-11-17,710134
2004-11-24,711595
2004-12-01,712891
2004-12-08,717072
2004-12-15,717661
