friday,ccy,rank_bc,d13_pct,z_bc,rank_tr,v13,z_tr,label,label_tercile,low_dispersion,stamp,generated_at
2026-09-11,CAD,1,5.91,1.1,1,0.4,1.34,abundante,abundante,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,AUD,2,3.57,0.76,3,0.09,0.84,abundante,abundante,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,GBP,3,-0.61,0.15,7,-0.38,-0.93,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,CHF,4,-1.56,0.01,4,0.08,0.51,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,USD,5,-2.9,-0.18,5,0.33,0.01,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,EUR,6,-3.05,-0.2,2,0.04,0.92,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,JPY,7,-5.89,-0.62,8,-0.25,-2.26,escasa,escasa,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,NZD,8,-8.61,-1.01,6,-0.12,-0.44,escasa,escasa,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-18,AUD,1,0.62,0.57,4,0.05,0.38,sin señal (compresión),abundante,1,a492de996742,2026-09-19T00:44:08+00:00
2026-09-18,USD,2,-0.65,0.39,6,0.31,-0.5,sin señal (compresión),sin señal,1,a492de996742,2026-09-19T00:44:08+00:00
2026-09-18,GBP,3,-1.76,0.22,,,,sin señal (compresión),sin señal,1,a492de996742,2026-09-19T00:44:08+00:00
2026-09-18,CHF,4,-2.35,0.14,2,0.15,0.73,sin señal (compresión),abundante,1,a492de996742,2026-09-19T00:44:08+00:00
2026-09-18,EUR,5,-2.89,0.06,3,0.01,0.54,sin señal (compresión),abundante,1,a492de996742,2026-09-19T00:44:08+00:00
2026-09-18,NZD,6,-5.07,-0.26,5,-0.08,-0.48,sin señal (compresión),escasa,1,a492de996742,2026-09-19T00:44:08+00:00
2026-09-18,JPY,7,-6.49,-0.47,7,-0.23,-2.18,sin señal (compresión),escasa,1,a492de996742,2026-09-19T00:44:08+00:00
2026-09-18,CAD,8,-7.76,-0.65,1,0.55,1.5,sin señal (compresión),sin señal,1,a492de996742,2026-09-19T00:44:08+00:00
