friday,ccy,rank_bc,d13_pct,z_bc,rank_tr,v13,z_tr,label,label_tercile,low_dispersion,stamp,generated_at
2026-09-11,CAD,1,5.91,1.1,1,0.4,1.34,abundante,abundante,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,AUD,2,3.57,0.76,3,0.09,0.84,abundante,abundante,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,GBP,3,-0.61,0.15,7,-0.38,-0.93,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,CHF,4,-1.56,0.01,4,0.08,0.51,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,USD,5,-2.9,-0.18,5,0.33,0.01,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,EUR,6,-3.05,-0.2,2,0.04,0.92,sin señal,sin señal,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,JPY,7,-5.89,-0.62,8,-0.25,-2.26,escasa,escasa,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-11,NZD,8,-8.61,-1.01,6,-0.12,-0.44,escasa,escasa,0,3aa6d6f1b8a6,2026-09-17T23:38:34+00:00
2026-09-18,AUD,1,0.62,0.57,4,0.05,0.4,sin señal (compresión),abundante,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
2026-09-18,USD,2,-0.65,0.38,6,0.31,-0.59,sin señal (compresión),sin señal,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
2026-09-18,GBP,3,-1.76,0.22,,,,sin señal (compresión),sin señal,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
2026-09-18,CHF,4,-2.17,0.16,2,0.15,0.74,sin señal (compresión),abundante,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
2026-09-18,EUR,5,-2.67,0.09,3,0.01,0.56,sin señal (compresión),abundante,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
2026-09-18,NZD,6,-5.41,-0.31,5,-0.08,-0.46,sin señal (compresión),escasa,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
2026-09-18,JPY,7,-6.49,-0.47,7,-0.23,-2.17,sin señal (compresión),escasa,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
2026-09-18,CAD,8,-7.76,-0.65,1,0.55,1.52,sin señal (compresión),sin señal,1,b72ace1d90c7,2026-09-24T00:56:44+00:00
