observation_date,WRESBAL
2022-09-14,3234928
2022-09-21,3104032
2022-09-28,2960598
2022-10-05,2972874
2022-10-12,3087912
2022-10-19,3092044
2022-10-26,3042838
2022-11-02,3062727
2022-11-09,3067888
2022-11-16,3128277
2022-11-23,3160730
2022-11-30,3168995
2022-12-07,3199048
2022-12-14,3188634
2022-12-21,3088621
2022-12-28,3017889
2023-01-04,2830144
2023-01-11,3081237
2023-01-18,3147332
2023-01-25,3031889
2023-02-01,3015506
2023-02-08,3037584
2023-02-15,3041038
2023-02-22,3016577
2023-03-01,2998303
2023-03-08,2999720
2023-03-15,3251482
2023-03-22,3425075
2023-03-29,3437592
2023-04-05,3292058
2023-04-12,3413989
2023-04-19,3303152
2023-04-26,3135655
2023-05-03,3089706
2023-05-10,3196429
2023-05-17,3248878
2023-05-24,3240172
2023-05-31,3309447
2023-06-07,3349751
2023-06-14,3325261
2023-06-21,3251558
2023-06-28,3171567
2023-07-05,3114989
2023-07-12,3166607
2023-07-19,3230457
2023-07-26,3172244
2023-08-02,3189533
2023-08-09,3222856
2023-08-16,3245971
2023-08-23,3186789
2023-08-30,3238345
2023-09-06,3307291
2023-09-13,3335459
2023-09-20,3231649
2023-09-27,3170324
2023-10-04,3145720
2023-10-11,3288945
2023-10-18,3353881
2023-10-25,3261886
2023-11-01,3267216
2023-11-08,3328908
2023-11-15,3391713
2023-11-22,3453853
2023-11-29,3441581
2023-12-06,3513374
2023-12-13,3540619
2023-12-20,3536105
2023-12-27,3446459
2024-01-03,3262895
2024-01-10,3498748
2024-01-17,3611719
2024-01-24,3526683
2024-01-31,3526230
2024-02-07,3599323
2024-02-14,3540945
2024-02-21,3565999
2024-02-28,3567552
2024-03-06,3626176
2024-03-13,3624633
2024-03-20,3553424
2024-03-27,3496121
2024-04-03,3414288
2024-04-10,3586845
2024-04-17,3522717
2024-04-24,3324363
2024-05-01,3252733
2024-05-08,3331156
2024-05-15,3369747
2024-05-22,3390794
2024-05-29,3409342
2024-06-05,3408310
2024-06-12,3455134
2024-06-19,3434274
2024-06-26,3302647
2024-07-03,3184180
2024-07-10,3341977
2024-07-17,3331425
2024-07-24,3308580
2024-07-31,3293519
2024-08-07,3351662
2024-08-14,3346138
2024-08-21,3355586
2024-08-28,3313566
2024-09-04,3243002
2024-09-11,3320818
2024-09-18,3313281
2024-09-25,3169149
2024-10-02,3089598
2024-10-09,3186207
2024-10-16,3209877
2024-10-23,3230145
2024-10-30,3236958
2024-11-06,3274120
2024-11-13,3244149
2024-11-20,3286885
2024-11-27,3227674
2024-12-04,3225075
2024-12-11,3264559
2024-12-18,3282229
2024-12-25,3247382
2025-01-01,3095997
2025-01-08,3254743
2025-01-15,3340816
2025-01-22,3332278
2025-01-29,3224785
2025-02-05,3177065
2025-02-12,3220027
2025-02-19,3270082
2025-02-26,3327249
2025-03-05,3312625
2025-03-12,3400235
2025-03-19,3467789
2025-03-26,3450933
2025-04-02,3379339
2025-04-09,3474682
2025-04-16,3452030
2025-04-23,3256734
2025-04-30,3219214
2025-05-07,3218636
2025-05-14,3235723
2025-05-21,3289469
2025-05-28,3270661
2025-06-04,3294381
2025-06-11,3407108
2025-06-18,3406366
2025-06-25,3369328
2025-07-02,3225980
2025-07-09,3330249
2025-07-16,3398822
2025-07-23,3362277
2025-07-30,3347414
2025-08-06,3332492
2025-08-13,3320050
2025-08-20,3317292
2025-08-27,3224967
2025-09-03,3181701
2025-09-10,3160774
2025-09-17,3073355
2025-09-24,3002218
2025-10-01,2966094
2025-10-08,2998471
2025-10-15,3019028
2025-10-22,2933037
2025-10-29,2848021
2025-11-05,2862569
2025-11-12,2855030
2025-11-19,2888643
2025-11-26,2896586
2025-12-03,2858284
2025-12-10,2932112
2025-12-17,2959044
2025-12-24,2955581
2025-12-31,2957410
2026-01-07,2996379
2026-01-14,3049630
2026-01-21,2954903
2026-01-28,2901600
2026-02-04,2925170
2026-02-11,2939557
2026-02-18,2949804
2026-02-25,2965765
2026-03-04,3015531
2026-03-11,3037665
2026-03-18,3019995
2026-03-25,2993955
2026-04-01,3026708
2026-04-08,3116247
2026-04-15,3129588
2026-04-22,2901825
2026-04-29,2918599
2026-05-06,3032588
2026-05-13,3102810
2026-05-20,3129562
2026-05-27,3066560
2026-06-03,3013902
2026-06-10,3080723
2026-06-17,3033444
2026-06-24,2951416
2026-07-01,2966897
2026-07-08,3098911
2026-07-15,3142721
2026-07-22,3062149
2026-07-29,2984570
2026-08-05,2993349
2026-08-12,2944059
2026-08-19,2935287
2026-08-26,2924936
2026-09-02,2894531
