date,net_issuance_private_weekly
2026-01-02,27884.963
2026-01-09,-9113.883
2026-01-16,-5960.191
2026-01-23,-30779.395
2026-01-30,-14922.158
2026-02-06,10960.012
2026-02-13,-35304.444
2026-02-20,11121.909
2026-02-27,-7784.376
2026-03-06,27448.969
2026-03-13,-29977.651
2026-03-20,5767.871
2026-03-27,-40966.241
2026-04-03,-8486.945
2026-04-10,14776.274
2026-04-17,9673.613
2026-04-24,-43990.027
2026-05-01,48742.049
2026-05-08,-22923.438
2026-05-15,-21243.967
2026-05-22,-17928.169
2026-05-29,17275.169
2026-06-05,23435.282
2026-06-12,-30675.752
2026-06-19,9964.359
2026-06-26,-47482.041
2026-07-03,-18576.508
2026-07-10,3834.011
2026-07-17,-6243.998
2026-07-24,-30952.382
2026-07-31,20674.307
2026-08-07,6826.776
2026-08-14,-27316.456
2026-08-21,38998.452
2026-08-28,-14473.369
2026-09-04,-7520.564
