issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
FR,bill,FR0100059635,1999-01-04,1999-01-07,1999-04-08,619.0,619.0,6.87,3.018,aft_hist_btf
FR,bill,FR0100662859,1999-01-04,1999-01-07,1999-07-29,899.0,899.0,4.42,3.046,aft_hist_btf
FR,bond,FR0000571218,1999-01-07,1999-01-14,2029-04-25,370.0,421.726,3.01,4.63,aft_hist_mlt
FR,bond,FR0000571432,1999-01-07,1999-01-14,2009-04-25,3427.0,3480.119,2.59,3.81,aft_hist_mlt
FR,bill,FR0100563073,1999-01-11,1999-01-14,1999-11-25,552.0,552.0,5.3,2.959,aft_hist_btf
FR,bill,FR0100801887,1999-01-11,1999-01-14,1999-04-15,862.0,862.0,5.1,3.002,aft_hist_btf
FR,bill,FR0100662859,1999-01-18,1999-01-21,1999-07-29,551.0,551.0,7.18,2.885,aft_hist_btf
FR,bill,FR0100801911,1999-01-18,1999-01-21,1999-04-22,905.0,905.0,5.37,2.9,aft_hist_btf
FR,bill,FR0100563073,1999-01-25,1999-01-28,1999-11-25,903.0,903.0,5.02,2.828,aft_hist_btf
FR,bill,FR0100801978,1999-01-25,1999-01-28,1999-04-29,802.0,802.0,5.94,2.858,aft_hist_btf
FR,bond,FR0100802273,1999-01-21,1999-01-28,2004-07-12,4138.0,4180.208,2.05,3.29,aft_hist_mlt
FR,bill,FR0100662859,1999-02-01,1999-02-04,1999-07-29,902.0,902.0,3.71,2.875,aft_hist_btf
FR,bill,FR0100801986,1999-02-01,1999-02-04,1999-05-06,815.0,815.0,6.42,2.863,aft_hist_btf
FR,bond,FR0000571218,1999-02-04,1999-02-11,2029-04-25,502.0,563.545,2.34,4.73,aft_hist_mlt
FR,bond,FR0000571424,1999-02-04,1999-02-11,2009-07-25,675.0,674.393,2.85,3.01,aft_hist_mlt
FR,bond,FR0000571432,1999-02-04,1999-02-11,2009-04-25,3065.0,3103.312,1.75,3.85,aft_hist_mlt
FR,bill,FR0100563073,1999-02-08,1999-02-11,1999-11-25,1156.0,1156.0,3.54,2.94,aft_hist_btf
FR,bill,FR0100802000,1999-02-08,1999-02-11,1999-05-12,1005.0,1005.0,3.78,2.885,aft_hist_btf
FR,bill,FR0100563040,1999-02-15,1999-02-18,1999-05-20,1010.0,1010.0,3.48,2.912,aft_hist_btf
FR,bill,FR0100802018,1999-02-15,1999-02-18,2000-02-17,1142.0,1142.0,3.42,2.945,aft_hist_btf
